"Number","Name","Min HP","Max HP","EXP %","Magic Type","Magic LVL","Weapon","Armour","Combat","Title Text","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
1,"Warrior",6,4,0,0,0,8,9,6,3001,31,0,0,0,0,-99,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0
2,"Witchunter",6,4,30,0,0,8,8,7,3002,31,0,51,0,142,10,0,5,0,-99,0,-99,0,-99,0,0,0,0,0,0
3,"Paladin",5,4,120,2,1,8,9,6,3003,31,0,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0
4,"Cleric",4,4,120,2,2,7,9,5,3004,31,0,0,0,0,-99,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0
5,"Priest",3,3,40,2,3,7,1,3,3005,31,0,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0
6,"Missionary",4,3,120,2,2,4,6,4,3006,103,0,37,0,40,0,31,0,0,0,0,-99,0,0,0,0,0,0,0,0
7,"Ninja",4,4,85,0,0,8,2,5,3007,31,0,103,0,40,0,37,0,38,0,34,25,58,10,0,0,0,0,0,0
8,"Thief",4,3,-20,0,0,4,6,4,3008,103,0,39,10,40,0,31,0,37,0,0,0,0,0,0,0,0,0,0,0
9,"Bard",4,3,110,4,2,4,6,5,3009,103,0,40,0,39,0,37,0,31,0,0,-99,0,0,0,0,0,0,0,0
10,"Gypsy",4,3,120,1,2,4,6,4,3010,103,0,37,0,39,0,40,0,31,0,0,-99,0,0,0,0,0,0,0,0
11,"Warlock",4,4,85,1,2,4,7,5,3011,31,0,0,0,0,-99,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0
12,"Mage",3,3,40,1,3,9,1,3,3012,31,0,0,-99,0,-99,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0
13,"Druid",4,3,90,3,3,7,6,4,3013,31,0,59,74,0,-99,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0
14,"Ranger",5,4,150,3,1,8,6,6,3014,31,0,38,0,103,0,0,0,0,-99,0,-99,0,-99,0,0,0,0,0,0
15,"Mystic",4,4,150,5,1,9,1,5,3015,103,0,34,25,29,1,30,1,35,1,142,5,58,10,31,0,0,-99,0,-99
