"Number","Name","Game Limit","Desc1","Desc2","Desc3","Desc4","Desc5","Desc6","Weight","Type","Uses","Cost","Cost Type","Min Hit","Max Hit","AC","DR","Weapon","Armour","Worn On","Accuracy","Gettable","Req Str","Speed","Robable","Hit Msg","Miss Msg","Read Msg","Distruct Msg","Not Droppable","Destroy On Death","Retain After Uses","OpenRunic","OpenPlatinum","OpenGold","OpenSilver","OpenCopper","Class 0","Class 1","Class 2","Class 3","Class 4","Class 5","Class 6","Class 7","Class 8","Class 9","Race 0","Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7","Race 8","Race 9","Negate 0","Negate 1","Negate 2","Negate 3","Negate 4","Negate 5","Negate 6","Negate 7","Negate 8","Negate 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9","Ability 10","Ability Value 10","Ability 11","Ability Value 11","Ability 12","Ability Value 12","Ability 13","Ability Value 13","Ability 14","Ability Value 14","Ability 15","Ability Value 15","Ability 16","Ability Value 16","Ability 17","Ability Value 17","Ability 18","Ability Value 18","Ability 19","Ability Value 19"
9,"grey robes",0,"This is a simple loose cloth tunic, made of soft cotton. It","is thin and provides little protection, but is quite light.",,,,,120,0,-1,5,1,0,0,60,0,0,1,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,859,0,0,0,1,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"large sign",0,"FILE DESCRIPTION","NEWHAVEN.TXT",,,,,9999,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"rigid leather tunic",0,"This is a boiled leather cuirass. Only slightly flexible, it","has soft leather at the joints and on the arms, and provides","good protection.",,,,400,0,-1,8,2,0,0,130,13,0,5,11,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"studded leather tunic",0,"This is a vest of thick leather studded with iron rivets. It","is a little heavy, but will provide good protection in","combat.",,,,325,0,-1,6,2,0,0,110,11,0,6,11,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"chainmail hauberk",0,"This is a tunic of small interlinked iron rings, overtop of","a thin leather jacket. It is heavy, and makes some noise","when in use, but provides very good defense against attack.",,,,600,0,-1,20,2,0,0,180,40,0,7,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,34,-6,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"scalemail tunic",0,"This is a suit of boiled leather with coin-sized iron discs","sewn onto it. It is a little heavier than chainmail, but","also protects better.",,,,800,0,-1,25,2,0,0,200,60,0,8,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-12,0,-5,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"brigandine tunic",0,"This is a suit of boiled leather reinforced with iron bands.","It is quite heavy, and makes noise when in use due to the","clanking of the iron bands, but provides excellent defense","in combat.",,,750,0,-1,54,2,0,0,170,40,0,9,11,0,1,0,8224,1,8224,1282,16778242,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-8,0,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"half-plate corselet",0,"This is a corselet of thin steel, worn over a leather","jacket. It is very heavy and cumbersome, but provides","excellent protection against attacks.",,,,1100,0,-1,90,2,0,0,190,90,0,9,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-14,34,-11,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"light plate corselet",0,"This is corselet of light steel plate, worn over heavy","leather. It is very heavy and noisy, but the incredible","edge it gives in combat may be worthwhile, if you are strong","enough to bear its weight!",,,1300,0,-1,150,2,0,0,210,90,0,9,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-16,34,-14,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"full plate corselet",0,"This is a heavy platemail corselet, with a chainmail vest","underneath. It is so heavy you can barely pick it up, and it","clangs noisily when moved, but it is nearly unsurpassed in","the protection it provides in combat.",,,1500,0,-1,250,2,0,0,230,100,0,9,11,0,1,0,8224,1,8224,1282,0,-771747072,0,0,0,1235881622,475533122,264441644,1235881794,244711445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-18,34,-17,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
