"Number","Line 1","Line 2","Line 3"
1,,,
2,"You cast %s!","%s casts %s!","%s casts %s!"
3,"You fire an %s at %s for %d damage!","%s throws an %s at you for %d damage!","%s throws an %s at %s!"
4,"You cast %s, and a shimmering field forms about you.",,"%s casts %s on %s!"
5,"You fire a %s at %s for %d damage!","%s sears you with a %s for %d damage!","%s fires a %s at %s!"
6,"You cast %s at %s, surrounding him with a pale blue glow.","%s casts a spell on you, surrounding you with a pale blue glow.","%s casts %s on %s!"
7,"You cast %s on %s!","%s casts %s upon you!","%s casts %s on %s!"
8,"You let loose a %s at %s for %d damage!","%s fries you with a %s for %d damage!","%s fires a %s at %s!"
9,"You cast %s on %s, surrounding him with a pale red glow.","%s casts %s on you, surrounding you with a pale red glow.","%s casts %s on %s!"
10,"You summon %s to slice %s for %d damage!","%s slices you with a cloud of %s for %d damage!","%s casts %s at %s!"
11,"pound|smash|crush","pounds|smashes|crushes","pounds|smashes|crushes"
12,"go manhole","go man","enter manhole"
13,"go secret","go sec","enter secret"
14,"You cast %s at %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
15,"You cast %s on %s, healing %d damage!","%s casts %s on you!","%s casts %s on %s!"
16,"You cast %s on %s!","%s casts a spell on you!","%s casts %s on %s!"
17,"You cast %s on %s!","%s casts a spell on you!","%s casts %s on %s!"
18,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
19,"You cast %s on %s for %d healing!","%s casts %s on you!","%s casts %s on %s!"
20,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s!"
21,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
22,"You cast %s, surrounding everyone in the party in a white glow!","%s casts a spell on you, surrounding you with a white glow!","%s casts %s, surrounding everyone in the their party with a white glow!"
23,"You cast %s, surrounding all your foes with a black glow!","%s casts a spell on you, surrounding you with a black glow!","%s casts a spell, surrounding their foes with a black glow!"
24,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
25,"You cast %s on everyone in the room!","%s casts %s on everyone in the room!","%s casts %s on everyone in the room!"
26,"A %s creeps into the room from %s.","The %s creeps out of the room to %s.","The giant rat creeps in after you!"
27,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant rat falls to the ground with a tortured squeak."
28,"A %s crawls into the room from %s.","The %s crawls out of the room to %s.","The lashworm crawls into the room after you!"
29,"The %s darts forward and bites you for %d damage!","The %s darts forward and bites %s for %s damage!","The lashworm falls dead at your feet."
30,"A %s scuttles into the room from %s.","The %s scuttles out of the room to %s.","The filthbug chases you into the room!"
31,"The %s claws you with its pincers for %d damage!","The %s rips %s with its claws for %s damage!","The filthbug collapses, its legs curling tightly around it."
32,"A %s creeps in the room from %s.","The %s creeps out of the room to %s.","The carrion beast charges after you, hissing furiously!"
33,"The %s rips you for %d damage!","The %s leaps on %s and chomps him for %s damage!","The carrion beast falls to the ground with a yelp, and is still."
34,"A %s oozes into the room from %s.","The %s oozes out of the room to %s.","The acid slime oozes in after you!"
35,"The %s whips you with its pseudopod for %d damage!","The %s whips %s with its pseudopod for %s damage!","The acid slime dissolves into a puddle of bluish goo."
36,"go hole","go hol","enter hole"
37,"You cast %s on %s.","%s casts %s on you!","%s casts %s on %s!"
38,"An %s walks into the room from %s.","The %s walks out of the room to %s.","The orc rogue follows you into the room!"
39,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The orc rogue collapses with a grunt."
40,"A %s sneaks into the room from %s.","The %s sneaks out of the room to %s.","The kobold thief creeps into the room after you!"
41,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The kobold thief falls to the ground with a shrill cry."
42,"pull lever","push lever","move lever"
43,"say faith","say faith","speak faith"
44,"The roast mutton is delicious!",,
45,"You finish the beef stew, casting the bowl aside.",,
46,"A %s strides in from %s!","The %s strides out to %s!","The %s runs after you!"
47,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The elite orc guard spits up blood, and dies!"
48,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",
49,"The %s strides in from %s!","The %s strides out to %s!","The %s charges after you!"
50,"You reel drunkenly!","%s stumbles in a drunken stupor!","You are intoxicated!"
51,"%s takes %d acid damage!","Acid burns you for %d damage!","%s is burned by acid for %s damage!"
52,"You feel your strength return.",,"You feel weak!"
53,,"You wake up in the slums, dazed and bruised!",
54,"You force your crowbar between the chains, and heave mightily!","%s forces a crowbat between the chains, and heaves mightily!","%s forces a crowbar between the chains, and heaves mightily!"
55,"The chains snap, and the door to the warehouse opens.","The chains snap, and the door to the warehouse opens.","The chains snap, and the door to the warehouse opens."
56,"You are stunned!","%s stares about blankly, drooling from the mouth.","You are stunned!"
57,"You are no longer stunned.",,"You are stunned!"
