"Number","Name","Group","Index","Weapon Number","AC","DR","Follow","MR","Experience","Hit Points","HP Regen","Energy","Game Limit","Charm LvL","Charm RES","BS Defense","Active","Type","Undead","Alignment","Gender","Regen Time","Date Killed","Time Killed","Runic","Platinum","Gold","Silver","Copper","Move Msg","Death Msg","Greet Txt","Desc Txt","Talk Txt","Death Spell","Create Spell","Desc 1","Desc 2","Desc 3","Desc 4","Attack Type 0","Attack Accu/Spell 0","Attack % 0","Attack Min Hit/Cast % 0","Attack Max Hit/Cast LVL 0","Attack Hit Msg 0","Attack Dodge Msg 0","Attack Miss Msg 0","Attack Energy 0","Attack Hit Spell 0","Spell Number 0","Spell Cast % 0","Spell Cast LVL 0","Attack Type 1","Attack Accu/Spell 1","Attack % 1","Attack Min Hit/Cast % 1","Attack Max Hit/Cast LVL 1","Attack Hit Msg 1","Attack Dodge Msg 1","Attack Miss Msg 1","Attack Energy 1","Attack Hit Spell 1","Spell Number 1","Spell Cast % 1","Spell Cast LVL 1","Attack Type 2","Attack Accu/Spell 2","Attack % 2","Attack Min Hit/Cast % 2","Attack Max Hit/Cast LVL 2","Attack Hit Msg 2","Attack Dodge Msg 2","Attack Miss Msg 2","Attack Energy 2","Attack Hit Spell 2","Spell Number 2","Spell Cast % 2","Spell Cast LVL 2","Attack Type 3","Attack Accu/Spell 3","Attack % 3","Attack Min Hit/Cast % 3","Attack Max Hit/Cast LVL 3","Attack Hit Msg 3","Attack Dodge Msg 3","Attack Miss Msg 3","Attack Energy 3","Attack Hit Spell 3","Spell Number 3","Spell Cast % 3","Spell Cast LVL 3","Attack Type 4","Attack Accu/Spell 4","Attack % 4","Attack Min Hit/Cast % 4","Attack Max Hit/Cast LVL 4","Attack Hit Msg 4","Attack Dodge Msg 4","Attack Miss Msg 4","Attack Energy 4","Attack Hit Spell 4","Spell Number 4","Spell Cast % 4","Spell Cast LVL 4","Item Number 0","Item Uses 0","Item Drop % 0","Item Number 1","Item Uses 1","Item Drop % 1","Item Number 2","Item Uses 2","Item Drop % 2","Item Number 3","Item Uses 3","Item Drop % 3","Item Number 4","Item Uses 4","Item Drop % 4","Item Number 5","Item Uses 5","Item Drop % 5","Item Number 6","Item Uses 6","Item Drop % 6","Item Number 7","Item Uses 7","Item Drop % 7","Item Number 8","Item Uses 8","Item Drop % 8","Item Number 9","Item Uses 9","Item Drop % 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
1,"giant rat",6,1,0,0,1,20,30,9.00,12,1,1000,0,1,40,0,0,2,0,2,0,0,0,0,0,0,0,0,0,26,27,21,2001,0,0,0,"This appears to be a mutant rat, grown to dog's size by some unknown","force. Its beady red eyes peer at you along the length of its dirty","muzzle, and it flicks its hairless pink tail nervously. The giant rat","has sharp, yellow teeth that could inflict sizeable wounds.",1,10,100,2,10,27,8307,8294,1000,0,0,0,0,0,70,20,4,20,27,8307,8294,1000,0,0,0,0,0,1,30,50,0,1,1,1,1000,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"lashworm",6,1,0,0,0,40,30,12.00,15,1,1000,0,3,40,0,0,2,0,2,0,0,0,0,0,0,0,0,0,28,29,23,2002,0,0,0,"This is an ugly, mottled gray worm, about three feet in length. It","appears to be eyeless, and weaves its head about in the air as if","searching for something. This hideous beast has a mouth full of","extremely sharp teeth, and is known to strike with lightning speed.",1,10,100,2,6,29,8307,8294,500,0,0,0,0,0,50,0,1,5,1,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"filthbug",6,1,0,7,2,10,30,12.00,15,1,1000,0,1,40,0,0,2,0,2,0,0,0,0,0,0,0,0,0,30,31,25,2002,0,0,0,"The filthbug is a two foot long beetle-like creature. It has a black","and brown spotted shell, and long spindly legs with small claws on","the ends. The filthbug is known to be a scavenger, and though it does","not pose much of a threat, its shell makes it tough to kill.",1,10,100,2,10,31,8308,8295,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"carrion beast",6,1,0,8,1,40,32,17.00,18,1,1000,0,4,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,33,27,2001,0,0,0,"This creature is an obvious mutation: it is the size of a small dog,","and is furred, but has six jointed legs and a snout bristling with","gnarled fangs. The carrion beast is known to be a berserker when","disturbed, and can be tough to kill.",1,10,100,2,10,33,8306,8293,1000,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"acid slime",6,1,0,0,0,15,32,16.00,25,3,1000,0,1000,1000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,34,35,29,2002,0,0,0,"This is a small bluish glob of protoplasm, a product of strange","magical mutations. It moves quite slowly, and is fairly easy to hit","as it does not dodge, but it can deal serious and painful wounds with","its pseudopods.",1,20,100,2,9,35,8309,8296,1000,126,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"orc rogue",6,5,67,10,1,25,40,22.00,30,1,1000,0,5,42,0,0,0,0,2,0,0,0,0,0,0,0,10,20,38,39,31,2000,0,0,0,"With its squinting narrow eyes, sharp pointed teeth, and harsh,","callous demeanor, the figure before you could only be an orc. It is","wearing rigid leather armour, and carries a readied short sword. It","looks around furtively, as if searching for trouble.",1,20,50,2,11,39,8297,8310,1000,0,0,0,0,1,20,100,2,11,8438,8297,8310,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"kobold thief",6,1,67,10,1,20,32,13.00,20,2,1000,0,4,42,0,0,2,0,2,0,0,0,0,0,0,0,7,20,40,41,31,2000,0,0,0,"The creature before you stands about four feet tall, has small pointy","teeth, and is garbed in mismatched armour. It carries a short sword,","and flicks its eyes around nervously as it sneaks about.",,1,15,100,1,8,41,8297,8310,666,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"cave worm",8,7,0,14,3,20,43,100.00,70,7,1000,0,12,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8238,8239,23,2002,0,0,0,"This long, grey worm is about one foot in diameter, with pale","gelatinous eyes and a maw full of three inch long needle-sharp teeth.","It weaves about as if searching for prey. Cave worms are quite tough,","and when they hit inflict horrible jagged wounds.",1,50,100,4,16,8239,8307,8294,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"thug",6,5,92,14,1,25,40,20.00,28,3,1000,0,5,44,0,0,2,0,2,1,0,0,0,0,0,0,5,10,8242,8243,31,2000,0,0,0,"This thug creeps around stealthily, looking for some unsuspecting","person to ambush and rob. He wears leather armour, and wields a nasty","looking spiked club.",,1,45,100,2,11,8243,8297,8310,1000,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"skeleton",7,2,0,8,0,50,40,55.00,43,5,1000,0,8,50,0,0,2,1,2,0,0,0,0,0,0,0,0,0,8244,8245,33,2002,0,0,0,"The animated skeleton of a humanoid creature stands before you. Bits","of dried flesh cling to its yellow bones, and faint flickers of red","light can be seen in its eye sockets. The undead are known to be very","difficult to destroy, as they are already dead.",1,45,100,3,11,8245,8308,8295,666,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
