"Number","Name","Min INT","Min WIL","Min STR","Min HEA","Min AGL","Min CHM","Max INT","Max WIL","Max STR","Max HEA","Max AGL","Max CHM","HP Bonus","CP","EXP %","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
1,"Human",40,40,40,40,40,40,100,100,100,100,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Dwarf",30,50,50,50,30,30,90,120,110,120,90,85,0,100,30,36,10,13,75,96,20,0,-20,0,2,0,0,0,0,0,0,0,0,0,0
3,"Gnome",45,40,35,40,45,35,110,100,90,100,110,90,0,100,20,36,5,13,65,37,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
4,"Halfling",30,40,20,40,60,40,90,100,60,100,150,100,-1,100,25,102,0,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Elf",50,40,35,30,50,50,120,100,90,80,120,120,0,100,45,13,50,102,0,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Half-Elf",45,40,40,30,45,50,110,100,90,100,110,110,0,100,15,69,10,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Dark-Elf",50,30,40,30,50,40,120,100,90,90,120,110,0,100,45,13,80,102,0,58,1,106,3,0,0,0,0,0,0,0,0,0,0,0,0
8,"Half-Orc",30,30,45,50,40,30,90,95,110,120,100,80,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Goblin",45,40,30,40,55,40,115,100,70,100,125,100,0,100,35,13,65,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Half-Ogre",20,25,70,60,20,25,60,70,150,150,60,60,1,100,30,36,15,7,20,0,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11,"Kang",30,45,55,50,30,30,90,110,120,110,90,85,0,100,35,21,100,7,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Nekojin",40,30,40,30,60,50,100,90,100,80,130,110,0,100,50,102,0,13,50,38,0,5,10,3,-10,0,0,0,0,0,0,0,0,0,0
13,"Gaunt One",60,50,40,30,50,30,140,100,100,70,110,80,0,100,50,13,200,77,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
