"Number","Name","Desc A","Desc B","Desc C","Type","Min Lvl","Max Lvl","MarkUp","Class Limit","Item 0","Max 0","Normal 0","Regen Time 0","Regen Number0","Regen %0","Item 1","Max 1","Normal 1","Regen Time 1","Regen Number1","Regen %1","Item 2","Max 2","Normal 2","Regen Time 2","Regen Number2","Regen %2","Item 3","Max 3","Normal 3","Regen Time 3","Regen Number3","Regen %3","Item 4","Max 4","Normal 4","Regen Time 4","Regen Number4","Regen %4","Item 5","Max 5","Normal 5","Regen Time 5","Regen Number5","Regen %5","Item 6","Max 6","Normal 6","Regen Time 6","Regen Number6","Regen %6","Item 7","Max 7","Normal 7","Regen Time 7","Regen Number7","Regen %7","Item 8","Max 8","Normal 8","Regen Time 8","Regen Number8","Regen %8","Item 9","Max 9","Normal 9","Regen Time 9","Regen Number9","Regen %9","Item 10","Max 10","Normal 10","Regen Time 10","Regen Number10","Regen %10","Item 11","Max 11","Normal 11","Regen Time 11","Regen Number11","Regen %11","Item 12","Max 12","Normal 12","Regen Time 12","Regen Number12","Regen %12","Item 13","Max 13","Normal 13","Regen Time 13","Regen Number13","Regen %13","Item 14","Max 14","Normal 14","Regen Time 14","Regen Number14","Regen %14","Item 15","Max 15","Normal 15","Regen Time 15","Regen Number15","Regen %15","Item 16","Max 16","Normal 16","Regen Time 16","Regen Number16","Regen %16","Item 17","Max 17","Normal 17","Regen Time 17","Regen Number17","Regen %17","Item 18","Max 18","Normal 18","Regen Time 18","Regen Number18","Regen %18","Item 19","Max 19","Normal 19","Regen Time 19","Regen Number19","Regen %19"
2,"Leave this blank","                                                   ","                                                   ","                                                   ",6,1,1,250,0,0,1000,100,2,100,100,0,1000,100,2,100,100,0,1000,100,2,100,100,0,1000,100,2,100,100,0,1000,100,2,100,100,0,1000,100,240,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"General Store","                                                   ","                                                   ","                                                   ",10,1,5,100,0,175,250,50,120,50,100,176,40,20,120,20,100,191,56,10,2,10,100,282,430,8,2,8,100,283,350,5,2,5,100,570,35,5,240,5,100,2040,5,1,120,1,10,2043,5,1,120,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Temple",,,,5,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Sword Shop","                                                   ","                                                   ","                                                   ",10,1,500,100,0,64,32,2,240,2,100,65,25,1,240,1,100,70,30,1,240,1,100,68,28,1,240,1,100,69,15,1,240,1,35,72,20,1,240,1,60,76,12,1,240,1,40,80,14,1,240,1,40,79,10,1,240,1,40,78,8,1,240,1,40,67,24,1,240,1,25,295,10,1,720,1,25,1361,0,0,0,0,0,969,3,0,0,0,0,1168,5,0,0,0,0,1327,2,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,74,5,1,240,1,33,1453,0,0,0,0,0
6,"Armour Shop, Torso/Legs","                                                   ","                                                   ","                                                   ",10,3,3,100,0,14,25,1,180,1,35,24,24,1,180,1,35,15,22,1,240,1,35,25,22,1,240,1,35,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1,240,1,8,18,3,1,240,1,5,27,3,1,240,1,5,19,2,1,240,1,5,28,2,1,240,1,5,416,15,1,240,1,50,417,5,1,240,1,10,418,3,1,720,1,10,0,0,0,0,0,0,443,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Inn","                                                   ","                                                   ","                                                   ",9,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bank of Godfrey","                                                   ","                                                   ","                                                   ",7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Mage Spell Shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,119,40,3,24,3,100,121,35,3,24,3,100,1340,32,3,24,3,100,120,30,3,24,3,100,126,30,3,24,3,100,125,25,2,24,2,100,124,24,2,24,2,100,128,20,2,24,2,100,296,18,2,24,2,100,297,14,1,24,1,100,298,10,1,24,1,100,127,5,1,24,1,50,373,30,3,24,3,100,501,10,2,24,2,100,374,22,3,24,3,100,375,20,2,24,2,100,376,13,1,24,1,100,377,8,1,24,1,100,378,4,1,24,1,50,379,4,1,24,1,50
10,"Axes","                                                   ","                                                   ","                                                   ",10,2,2,100,0,71,28,1,240,1,100,75,30,1,240,1,100,81,15,1,240,1,40,73,20,1,240,1,40,85,12,1,240,1,40,82,6,1,720,1,40,83,9,1,720,1,40,86,10,1,720,1,40,452,12,1,720,1,50,568,1,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Leatherworks, Torso/Legs/Hands","                                                   ","                                                   ","                                                   ",10,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,1,240,1,100,20,72,2,240,2,100,0,0,0,0,0,0,23,42,1,240,1,100,281,112,2,240,2,100,38,75,2,240,2,100,40,64,2,240,2,100,41,50,2,240,2,100,441,62,1,240,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
