"Number","Name","Short Name","Level","Desc 1","Desc 2","Cast MSG A","Cast MSG B","MSG Style","Energy","Mana","Min","Max","Spell Type","Type of Resists","Difficulty","Target","Duration","Attack Type","Resist Ability","Magery A","Magery B","Level Cap","LVLS Max Increase","Max Increase","LVLS Min Increase","Min Increase","LVLS Dur Increase","Dur Increase","UNDEFINED01","UNDEFINED02","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
1,"magic missile","mmis",1,"This spell shoots a shimmering dart of pure mana","at the target, causing minor damage.",1,3242,32,1000,1,4,12,0,0,15,8,0,4,0,1,1,6,0,1,0,0,0,0,0,3,17,0,0,0,0,2,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
2,"illuminate","illu",2,"Casting this spell conjures a ball of light to","use in place of a torch or lamp.",1,2,32,0,4,4012,4012,3,0,5,1,0,4,0,1,1,0,0,0,0,0,0,0,0,2,148,0,0,2091,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
4,"ethereal shield","shld",5,"This spell creates a barrier around the target,","increasing defense against attack.",1,4,32,0,6,3,3,3,0,-5,1,60,4,0,1,1,18,2,1,2,1,1,3,0,3,10,0,115,8531,122,132,0,129,7,10,122,1046,122,1004,122,1041,0,8224,0,32
5,"frost jet","fjet",4,"Shoots a jet of freezing ice at the target,","causing damage!",1,3242,32,1000,3,8,14,0,0,5,8,0,0,0,1,1,11,1,1,0,0,0,0,0,5,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
6,"resist cold","rcol",4,"This spell creates a barrier that will reduce the","damage you take from cold attacks.",1,6,32,0,6,6,6,3,1,0,2,70,0,0,1,1,18,2,1,1,1,0,0,0,4,3,0,115,8526,122,9,122,28,122,29,122,897,122,792,0,0,0,1053,0,1054
7,"smite","smit",3,"This spell will make the target do more damage in","combat.",1,7,32,0,4,1,1,3,1,5,2,60,4,0,1,1,30,10,1,10,1,1,2,0,12,4,0,115,8532,0,50,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
8,"lightning bolt","lbol",8,"This spell unleashes a blast of blue-white","lightning to assault a foe.",1,3242,32,1000,5,16,12,0,0,0,8,0,3,0,1,1,15,1,2,0,0,0,0,0,15,17,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
9,"resist fire","rfir",6,"This spell creates a barrier that will reduce the","damage you take from Fire attacks.",1,9,32,0,8,4,4,3,1,-5,2,70,4,0,1,1,22,2,1,1,1,0,0,0,10,5,0,115,8527,122,6,122,28,122,29,122,1013,122,897,122,792,0,1053,0,1054
12,"harm","harm",1,"This spell wounds an opponent from within.",,0,14,32,1000,1,4,13,0,2,15,8,0,4,0,2,0,6,1,1,0,0,1,0,0,3,17,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
13,"minor healing","mihe",1,"This will heal some of the target's wounds.",,1,15,32,0,2,2,8,3,1,10,2,0,4,0,2,0,10,3,2,3,1,0,0,0,15,18,0,108,0,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,8224,0,32
