"number","part","linkTo","data"
0,0,0,"



Ƚ'7532"
1,0,2,"adventurer:3
nasty:4
Ƚ'7532"
2,0,0,"The old man looks you over, and with a grin says ""Ah, another ADVENTURER
thinks he can save this town from its current peril. Or are you one of those
NASTY sorts who thrives on chaos?"". He grins at you over that last statement.
Ƚ'7532"
3,0,0,"The old man smiles and says ""Yes, you newcomers aren't the only ones who
fought to save the Realm. Many years ago a group of heroes fought countless
battles to protect Silvermere and the lands surrounding it. Success came 
hard, but it did come. Unfortunately they have all passed on, and the evil 
has returned."" He speaks this with such clarity that you feel as though he
was actually there at these heroic times...
Ƚ'7532"
4,0,0,"The old man laughs. ""With law comes chaos, and with chaos comes law"", he 
exclaims. ""Actually, before fighting for the forces of good, Skellar, the
reknowned master thief was quite a nasty fellow indeed, but he found his 
efforts boring after a time and eventually his heart led to the path of 
righteousness. A thief doesn't always have to be evil, but a true thief will
never betray his code, no matter what the cost.""
Ƚ'7532"
5,0,6,"boat:7
passage:7
skiff:7
charge:7
Ƚ'7532"
6,0,0,"The boatman says ""Well, what do ya want now? I suppose ye'll be wantin' to
use o' of me SKIFFs thar, now that this ruin's been found on the ol'
island thar in the middle o' the river.""  He looks you up and down 
appraisingly. ""You look wealthy enough,"" he says, ""so I'm sure ye'll be 
able ta afford the five gold piece CHARGE I'll be wantin' fer use of me 
BOATs.""  The boatman grins slyly up at you, and spits to the side.  
Ƚ'7532"
7,0,0,"The boatman says ""You heard me, it's a five gold piece charge if you want 
to buy passage to that island.""  He frowns.  ""And don't go wreckin me boats,
or I'll get me revenge.  I got connections!""  He glances at you out of the 
corner of his eye, and holds out his hand.  ""Well, do ye be wantin' to use
me skiff or not?""
Ƚ'7532"
8,0,9,"labyrinth:10
quester:11
adventurer:11
beasts:12
shrine:13
details:14
riddle:15
ebony triangle:16
giant black ooze:20
black ooze:20
ooze:20
Ƚ'7532"
9,0,0,"The crippled adventurer says, in a powerful voice ""Greetings, ADVENTURER, and
health to you.  Though my appearance belies it, I once was a QUESTER such as
yourself.  I met my match in a hellishly perplexing LABYRINTH, just to the 
north of here...  the BEASTS inside took me apart, as you can see, and nearly
took my life.""
Ƚ'7532"
10,0,0,"The crippled adventurer says ""It plays with your mind, some things change as
you move about, passages shift, and occasionally you find yourself... 
elsewhere.  Secret passages are rife throughout the place, and are necessary
to its completion, I believe.  Some are activated by statues, or riddles, or
simply by finding a hidden button or catch lurking on a wall.  I do not 
remember any specific DETAILS, these long years have worn down my memory...
but if you find anything, come to me and I will attempt to aid you in your
search.  I crawled out of there years ago, mortally wounded and rent limb   
from limb.  My last wish as I felt myself dying was to find a safe and 
tranquil place to breathe my last breath.  I pulled myself into this hole, 
and finding it deserted, prepared myself to die.  But there is something
strange about this small cave, something holy, as if it is a place sacred to 
the gods.  There is some power which has kept me alive these years, and 
though I am scarred and crippled my life was saved.  I have devoted the rest 
of my life to creating a sacred SHRINE here.""
Ƚ'7532"
